Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Netzwerktopologien|Was ist das Hauptmerkmal der <b>Stern-Topologie</b> und welches spezifische Risiko (Nachteil) ergibt sich daraus für den Betrieb?|Zentralisierung|Single Point of Failure|In einer <b>Stern-Topologie</b> sind alle Endgeräte an einen <b>zentralen Knoten</b> (meist ein Switch) angeschlossen.<br>- Vorteil: Einfache Erweiterbarkeit und Fehlerlokalisierung (fällt ein Kabel aus, betrifft es nur ein Gerät).<br>- Nachteil: Der zentrale Knoten ist ein <b>Single Point of Failure</b>. Fällt der Switch aus, ist das gesamte Netzwerk segmentübergreifend tot.|In der Praxis wird dieses Risiko durch redundante Switches (Stacking/MLAG) minimiert. Der Stern ist die Basis der strukturierten Verkabelung in Bürogebäuden.|Ein PC im Büro hat ein defektes Kabel; nur dieser PC ist offline. Wäre der zentrale Switch defekt, könnten 48 Mitarbeiter nicht arbeiten.|Stern = Switch in der Mitte|Zentraler Knotenpunkt (Switch); Ausfall des Knotens legt das gesamte Netz lahm.|Alle Geräte sind in Reihe geschaltet; ein Kabelbruch legt alles lahm.|Daten fließen nur in eine Richtung; hohe Latenz bei vielen Teilnehmern.|Jedes Gerät ist mit jedem verbunden; extrem hohe Verkabelungskosten.|Topologie Stern Switch Infrastruktur Redundanz E01
Bachelor Professional IT|Netzwerktopologien|Warum wird eine <b>vollvermaschte Topologie (Mesh)</b> trotz ihrer extremen Ausfallsicherheit in großen LAN-Umgebungen selten als Standard eingesetzt?|Komplexität & Kosten|Wirtschaftlichkeit|In einer <b>vollvermaschten Topologie</b> ist jedes Gerät mit jedem anderen Gerät direkt verbunden.<br>- Vorteil: Höchste Ausfallsicherheit (viele Ersatzwege).<br>- Nachteil: Der <b>Verkabelungsaufwand</b> steigt quadratisch zur Anzahl der Geräte ($n(n-1)/2$). Dies ist für normale Arbeitsplatzrechner unwirtschaftlich.|Vollvermaschung findet man primär in Kern-Netzwerken (Backbones) oder im Internet (Router-Ebene). Im lokalen Bereich nutzt man eher Teilvermaschung (Partial Mesh), um einen Kompromiss aus Kosten und Sicherheit zu finden.|Zwei Rechenzentren sind über drei verschiedene Wege verbunden, damit bei einem Baggerbiss in Leitung A der Betrieb weiterläuft.|Mesh = Maximale Sicherheit, Maximale Kosten|Aufgrund des extrem hohen Verkabelungsaufwands und der Kosten.|Da sie keine Redundanz bietet und bei Fehlern schwer zu warten ist.|Weil sie nur für drahtlose Übertragung (Zigbee) geeignet ist.|Da die Datenübertragung durch die vielen Wege zu langsam wird.|Topologie Mesh Redundanz Backbone Infrastruktur E01
Bachelor Professional IT|Netzwerkdesign|Ein fünfstöckiges Bürogebäude soll vernetzt werden. In jeder Etage gibt es einen Etagenverteiler (Stern), die wiederum alle an einen zentralen Core-Switch im Keller angebunden sind. Welcher Topologie-Typ beschreibt diese Anordnung am besten?|Hierarchie im Design|Strukturierte Verkabelung|Dies ist eine klassische <b>Baum-Topologie</b>.<br>- Sie besteht aus einer Wurzel (Core-Switch) und mehreren Verzweigungen (Etagen-Switches), an denen wiederum die Blätter (Endgeräte) hängen.<br>- Vorteil: Klare Hierarchie, gute Skalierbarkeit und logische Trennung der Abteilungen.|Die Baum-Topologie ist das Standardmodell für größere Unternehmensnetzwerke. Kritisch ist hier die Verbindung zur Wurzel (Uplink). Fällt die Wurzel aus, bricht die Kommunikation zwischen den Zweigen zusammen.|Ein Ausfall des Etagen-Switches im 3. OG trennt nur diese Etage vom Rest des Firmennetzes (Baum-Struktur).|Baum = Stamm (Core) + Äste (Etagen)|Baum-Topologie (Hierarchische Verknüpfung von Sternen).|Ring-Topologie (Daten fließen von Etage zu Etage).|Bus-Topologie (Ein langes Kabel durch das Treppenhaus).|Vollvermaschung (Jeder PC ist mit dem Keller verbunden).|Topologie Baum Infrastruktur Design Planung E01
Bachelor Professional IT|Kommunikationsprotokolle|Was definieren Protokolle im Kern und welches Bundle gilt als "Sprache des Internets"?|Regelwerk der IT|Standard-Suite|Ein Protokoll ist eine Vereinbarung über:<br>1. <b>Syntax</b> (Format/Struktur)<br>2. <b>Semantik</b> (Bedeutung der Steuerinfos)<br>3. <b>Synchronisation</b> (Geschwindigkeit/Reihenfolge).<br>Das Standard-Bundle ist <b>TCP/IP</b>.|Ohne Protokolle würden Systeme unterschiedliche Sprachen sprechen. TCP/IP ist modular aufgebaut und ermöglicht die Kommunikation über heterogene Hardware hinweg. Es ist die Basis für fast alle modernen Dienste wie HTTP, FTP oder SMTP.|Zwei Menschen vereinbaren, dass ein Kopfnicken "Ja" bedeutet (Syntax: Bewegung, Semantik: Zustimmung).|Protokoll = Syntax + Semantik + Sync|Regeln für Syntax, Semantik und Synchronisation; Bundle ist TCP/IP.|Protokolle definieren nur die Hardware; Bundle ist das OSI-Modell.|Sie regeln die Stromspannung; Bundle ist Ethernet/WLAN.|Sie sind nur für die Verschlüsselung da; Bundle ist SSL/TLS.|Protokoll Definition TCP/IP Internet Kommunikation E01
Bachelor Professional IT|Netzwerk-Metriken|Wie unterscheiden sich <b>Bandbreite</b> und <b>Durchsatz</b> in der Netzwerktheorie?|Theorie vs. Praxis|Leistungsfähigkeit|Die Unterscheidung ist fundamental für das Monitoring:<br>- <b>Bandbreite</b>: Das theoretisch übertragbare Datenvolumen (z.B. 1 Gbit/s Leitung).<br>- <b>Durchsatz</b>: Die tatsächlich gemessene Datenrate (Transfergröße / Zeit), die nach Abzug von Overhead und Störungen übrig bleibt.|In der Praxis ist der Durchsatz immer geringer als die Bandbreite. Gründe sind Protokoll-Overhead (Header), Kollisionen, Latenzen oder Überlastung der Gegenstelle.|Ein Rohr kann 100 Liter/Min leiten (Bandbreite), aber durch Kalkablagerungen fließen nur 80 Liter/Min (Durchsatz).|Bandbreite = Soll, Durchsatz = Ist|Bandbreite = theoretisches Maximum; Durchsatz = tatsächlich erreichte Rate.|Bandbreite ist die Geschwindigkeit, Durchsatz ist die Entfernung.|Bandbreite misst die Zeit, Durchsatz misst die Paketgröße.|Es gibt keinen Unterschied, beide Begriffe sind synonym.|Bandbreite Durchsatz Performance Monitoring E01
Bachelor Professional IT|Performance-Analyse|Ein Admin stellt fest, dass die <b>RTT (Round-Trip-Time)</b> zu einem Server massiv angestiegen ist, während die Bandbreite stabil bleibt. Welche Auswirkung hat dies auf eine Echtzeit-Anwendung (z. B. VoIP oder Gaming)?|Zeitverzögerung|Verständigungsprobleme|Eine hohe <b>RTT</b> bedeutet eine hohe <b>Latenz</b>.<br>- RTT ist die Zeit für den Weg zum Ziel und die Rückantwort.<br>- Folge: Auch bei "breiter" Leitung hinkt das Signal hinterher (Lag). Echtzeit-Dienste leiden unter Aussetzern.|Latenz ist oft kritischer als Bandbreite. Bei VoIP führen RTTs über 150ms zu spürbaren Verzögerungen im Gespräch. Ursachen können überlastete Router oder zu viele Hops im Netzwerk sein.|Telefonat via Satellit: Man hört die eigene Stimme verzögert zurück (hohe RTT), obwohl die Sprachqualität (Bandbreite) gut ist.|RTT = Hin + Zurück Zeit|Hohe Zeitverzögerung (Lag) und instabile Kommunikation.|Keine, solange die Bandbreite hoch genug ist.|Die Daten werden automatisch komprimiert.|Die Download-Größe der Dateien nimmt zu.|Latenz RTT Performance Troubleshooting E01
Bachelor Professional IT|ISO/OSI-Modell (Layer 1-3)|Welche Aufgaben erfüllen die Schichten 1, 2 und 3 und welche Hardware-Komponenten sind ihnen jeweils zugeordnet?|Hardware-Zuordnung|Physical to Network|Die unteren drei Schichten bilden die Basis:<br>1. <b>Layer 1 (Physical)</b>: Übertragung von Bits (Kabel, Stecker, <b>Hub</b>).<br>2. <b>Layer 2 (Data Link)</b>: Adressierung via MAC-Adresse und Fehlererkennung (<b>Switch</b>, Bridge).<br>3. <b>Layer 3 (Network)</b>: Routing und logische Adressierung via <b>IP</b> (<b>Router</b>).|Wichtig für Troubleshooting: Wenn der Ping (L3) fehlschlägt, prüft man erst das Kabel (L1) und dann die MAC-Tabelle (L2). Schicht 1-3 sind "netzwerkorientiert".|Ein PC kann keine Verbindung aufbauen, weil der Switch (L2) die MAC-Adresse nicht lernt oder das Kabel (L1) defekt ist.|1-Bit, 2-MAC, 3-IP|L1: Physisch (Kabel/Hub), L2: Sicherung (Switch/MAC), L3: Vermittlung (Router/IP).|L1: IP (Router), L2: MAC (Switch), L3: Bits (Hub).|L1: Bits (Router), L2: IP (Switch), L3: Fehler (Kabel).|L1: Software, L2: Hardware, L3: User.|OSI Schicht 1-3 Hardware Switch Router IP E01
Bachelor Professional IT|ISO/OSI-Modell (Layer 4-7)|Welche Schicht ist für die <b>Verschlüsselung</b> (z.B. TLS) zuständig und welche Schicht dient als direkte Schnittstelle für den <b>Benutzer</b> (z.B. HTTP)?|Software-Schnittstellen|Presentation & Application|Die oberen Schichten sind "anwendungsorientiert":<br>- <b>Schicht 6 (Presentation)</b>: Zuständig für Datenformate, Kompression und <b>Verschlüsselung (SSL/TLS)</b>.<br>- <b>Schicht 7 (Application)</b>: Bietet die <b>Schnittstelle für Anwendungen</b> (HTTP für Browser, SMTP für Mail).|Schicht 4 (Transport mit TCP/UDP) sorgt für die Logistik, aber erst Schicht 6 entscheidet, ob die Daten als JPEG oder verschlüsselter Text ankommen. Schicht 7 ist *nicht* das Programm selbst, sondern das Protokoll, das es nutzt.|Ein Webbrowser nutzt das HTTP-Protokoll (L7), um Daten zu laden, die via HTTPS (L6) verschlüsselt wurden.|6-Format/Safe, 7-App/User|L6 (Presentation) verschlüsselt, L7 (Application) ist für den User.|L4 (Transport) verschlüsselt, L5 (Session) ist für den User.|L7 (Application) verschlüsselt, L4 (Transport) ist für den User.|L3 (Network) verschlüsselt, L7 (Application) ist für den User.|OSI Schicht 4-7 Verschlüsselung HTTP TLS E01
Bachelor Professional IT|IT-Management Troubleshooting|Ein User meldet: "Mein Outlook kann keine E-Mails senden." Der Admin prüft die Verbindung und stellt fest, dass das Netzwerkkabel steckt (L1 ok) und ein Ping auf den Mailserver erfolgreich ist (L3 ok). Auf welcher OSI-Ebene sollte er als Nächstes suchen?|Systematische Fehlersuche|Bottom-Up Methode|Wenn L1 bis L3 funktionieren, liegt das Problem <b>"höher im Stack"</b>.<br>- <b>Schicht 4 (Transport)</b>: Ist der Port (z.B. 587 für SMTP) offen? (TCP-Handshake).<br>- <b>Schicht 7 (Application)</b>: Sind die Kontodaten in Outlook korrekt?<br>Der Fehler ist softwareseitig oder protokollspezifisch.|Dies ist das "Divide and Conquer"-Prinzip. Da der Ping (L3/ICMP) geht, ist die gesamte physische und routingtechnische Infrastruktur intakt. Der Fokus wandert nun zur Port-Kommunikation und Anwendung.|Ping geht (L3 ok), aber Website lädt nicht -> Mögliches Problem mit dem Zertifikat (L6) oder dem Port 443 (L4).|L3 ok? Dann hoch zu 4!|Schicht 4 oder höher (z.B. Ports/TCP oder App-Konfiguration).|Wieder bei Schicht 1 (Hardware tauschen).|Bei Schicht 2 (Switch-Port prüfen).|Außerhalb des Modells (Stromversorgung).|OSI Troubleshooting Fehleranalyse Schichtmodell E01
Bachelor Professional IT|Netzwerkmodelle (TCP/IP vs. OSI)|Welche Schichten des 7-stufigen OSI-Modells werden im TCP/IP-Modell in der einzigen <b>Anwendungsschicht</b> zusammengefasst?|Konsolidierung|Obere Schichten|Das TCP/IP-Modell fasst die drei obersten OSI-Schichten (<b>Sitzung, Darstellung, Anwendung</b>) zu einer einzigen <b>Anwendungsschicht (Application Layer)</b> zusammen.<br>- Grund: In der Praxis regelt die Anwendung selbst (z. B. der Browser) die Sitzung und Datenkonvertierung.|Für Entwickler ist diese Trennung im Code oft nicht sichtbar; ein HTTP-Prozess kümmert sich sowohl um die Daten (App), die Verschlüsselung (Darstellung) als auch um den Dialog (Sitzung). Daher ist das 4-Schichten-Modell praxisnäher.|Ein Webbrowser (TCP/IP App-Layer) übernimmt sowohl das HTML-Rendering (OSI 7) als auch die TLS-Verschlüsselung (OSI 6).|TCP/IP oben = 3-in-1 (OSI 5,6,7)|Schicht 5 (Sitzung), 6 (Darstellung) und 7 (Anwendung).|Schicht 1 und 2.|Schicht 3 und 4.|Nur Schicht 7.|TCP/IP OSI Mapping Schichtenmodell Vergleich E01 
Bachelor Professional IT|TCP/IP Transportschicht|Welche zwei primären Protokolle der TCP/IP-Transportschicht unterscheiden sich durch ihre Art der Verbindung (verbindungsorientiert vs. verbindungslos)?|Zuverlässigkeit vs. Speed|Logistik-Ebene|Die Transportschicht nutzt zwei Hauptprotokolle:<br>1. <b>TCP (Transmission Control Protocol)</b>: Bietet Fehlerkorrektur, Reihenfolgegarantie und ist <b>verbindungsorientiert</b> (Handshake).<br>2. <b>UDP (User Datagram Protocol)</b>: Schnell, schlank, aber <b>verbindungslos</b> (keine Empfangsbestätigung).|TCP ist wie ein Einschreiben (Sicherheit), UDP wie eine Postkarte (Schnelligkeit). In der Prüfung wichtig: TCP für Datenintegrität (Web, Mail), UDP für Echtzeit (Streaming, VoIP, Gaming).|Download einer Datei nutzt TCP (Vollständigkeit wichtig); ein Videoanruf nutzt UDP (Tempo wichtiger als einzelne verlorene Pixel).|TCP = Sicher, UDP = Schnell|TCP (verbindungsorientiert) und UDP (verbindungslos).|IP und ICMP.|HTTP und FTP.|Ethernet und WLAN.|TCP UDP Transportschicht Protokolle E01
Bachelor Professional IT|TCP/IP Internet-Schicht|Ein Paket soll den optimalen Weg durch verschiedene Teilnetze zum Zielrechner finden. Welches Protokoll ist hierfür zuständig und auf welcher TCP/IP-Schicht operiert es?|Adressierung & Routing|Vermittlungsebene|Das <b>Internet Protocol (IP)</b> auf der <b>Internet-Schicht</b> (entspricht OSI 3).<br>- Aufgabe: Adressierung der Pakete und <b>Routing</b> durch das Netzwerk (Hop-to-Hop).|Die Internet-Schicht ist das Herzstück des Modells. Sie abstrahiert von der physikalischen Verbindung (Link-Schicht) und liefert Pakete "Best-Effort" an die Ziel-IP aus.|Ein Router analysiert den IP-Header eines Pakets auf der Internet-Schicht, um zu entscheiden, über welche Schnittstelle das Paket weitergeleitet wird.|IP = Internet-Schicht = Navi|IP (Internet Protocol) auf der Internet-Schicht.|TCP auf der Transportschicht.|Ethernet auf der Link-Schicht.|HTTP auf der Anwendungsschicht.|IP Internet Schicht Routing Protokoll E01
Bachelor Professional IT|Netzwerksicherheit (DMZ)|Was ist der primäre Zweck einer <b>Demilitarisierten Zone (DMZ)</b> und wie schützt sie das interne Netzwerk bei einem Angriff auf einen Webserver?|Zonentrennung|Isolierung exponierter Dienste|Die <b>DMZ</b> ist ein isoliertes Netzsegment zwischen Internet und LAN.<br>- Zweck: Bereitstellung öffentlich erreichbarer Dienste (z. B. Webserver).<br>- Schutzwirkung: Ein Angreifer, der den Server in der DMZ kompromittiert, befindet sich in einem <b>isolierten Bereich</b> und hat keinen direkten Zugriff auf das interne LAN (getrennt durch eine weitere Firewall-Instanz).|In der Praxis wird oft ein "Zweistufiges Firewall-Konzept" genutzt. Die äußere Firewall lässt nur HTTP/HTTPS zur DMZ zu. Die innere Firewall blockt alles von der DMZ ins LAN, was nicht explizit für die Datenbank-Kommunikation nötig ist.|Ein Webserver steht in der DMZ. Wird er gehackt, verhindert die innere Firewall, dass der Hacker auf das interne Active Directory zugreifen kann.|DMZ = Pufferzone zwischen Internet und Intranet|Isolation exponierter Dienste; Durchbruch führt nicht direkt ins interne Netz.|Sie verschlüsselt den gesamten Datenverkehr zum Webserver.|Sie ersetzt die Firewall durch einen Proxy-Server.|Sie dient als Backup-Speicher für das interne LAN.|Sicherheit DMZ Firewall Netzwerk Architektur E01
Bachelor Professional IT|Virtual Private Network (VPN)|Welche VPN-Typen werden für die <b>Vernetzung zweier Standorte</b> (Site-to-Site) und für die <b>Anbindung von Homeoffice-Mitarbeitern</b> (End-to-Site) verwendet?|Vernetzungsszenarien|Gateway vs. Client|Man unterscheidet nach dem Endpunkt des Tunnels:<br>1. <b>Site-to-Site (LAN-to-LAN)</b>: Zwei VPN-Gateways (Router/Firewalls) verbinden ganze Netzwerke dauerhaft.<br>2. <b>End-to-Site (Remote Access)</b>: Ein mobiler Client wählt sich temporär in ein Firmen-Gateway ein.<br>3. <b>End-to-End</b>: Direkter Tunnel zwischen zwei Hosts (z. B. Admin-PC zu Server).|VPNs nutzen Verschlüsselung (IPsec oder SSL/TLS), um einen sicheren Tunnel über das öffentliche Internet zu legen. Wichtig für die IHK: Die Integrität und Vertraulichkeit der Daten ist dabei oberstes Ziel.|Zweigstelle Berlin ist via Router permanent mit Zentrale München verbunden (Site-to-Site). Außendienst nutzt VPN-Client am Laptop (End-to-Site).|Site-to-Site = Büro zu Büro, End-to-Site = User zu Büro|Site-to-Site für Standorte; End-to-Site (Remote Access) für Mitarbeiter.|Site-to-Site für Mitarbeiter, End-to-End für Standorte.|Beide nutzen immer eine End-to-End Verbindung.|VPN ist nur für die End-to-End Kommunikation zwischen PCs gedacht.|VPN Site-to-Site End-to-Site Homeoffice Infrastruktur E01
Bachelor Professional IT|IT-Sicherheitsziele|Ein Administrator implementiert eine digitale Signatur für alle VPN-Verbindungen. Welches Sicherheitsziel steht hier im Vordergrund, wenn sichergestellt werden soll, dass die Daten <b>während der Übertragung nicht verändert</b> wurden?|CIA-Schutzziele|Unveränderlichkeit|Das primäre Ziel ist die <b>Integrität</b>.<br>- Integrität garantiert, dass Daten korrekt und vollständig sind.<br>- Ergänzend wird oft die <b>Authentizität</b> geprüft (ist der Absender echt?).<br>Die Verschlüsselung selbst dient der <b>Vertraulichkeit</b>.|In der Prüfung wird oft gefragt, welches Ziel durch eine bestimmte Maßnahme erreicht wird. Signatur = Integrität/Authentizität. AES-Verschlüsselung = Vertraulichkeit. Cluster/Redundanz = Verfügbarkeit.|Ein Hacker fängt ein Datenpaket ab und ändert den Betrag einer Überweisung. Eine Prüfung der Integrität (Hash-Wert/Signatur) würde diesen Betrug aufdecken.|Integrität = Inhalt intakt|Integrität (Sicherstellung der Unverrehrtheit).|Vertraulichkeit (Verschlüsselung gegen Mitlesen).|Verfügbarkeit (Schutz gegen Systemausfall).|Skalierbarkeit (Erweiterbarkeit des Netzwerks).|IT-Sicherheit Integrität Schutzziele CIA VPN E01
Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Virtualisierung Grundlagen|Was versteht man technisch unter "Virtualisierung" und welche zentrale Funktion übernimmt der dabei eingesetzte "Abstraktions-Layer"?|Entkopplung|Physisch zu Logisch|Virtualisierung ist die <b>Nachbildung eines Hard- oder Software-Objekts</b> durch ein ähnliches Objekt desselben Typs.<br>- Der <b>Abstraktions-Layer</b> (oft Hypervisor) wandelt dabei physische Ressourcen (CPU, RAM) in <b>logische Einheiten</b> um.<br>- Dies ermöglicht den Betrieb mehrerer isolierter Instanzen auf einer Hardware.|Ohne diesen Layer wäre ein Betriebssystem fest an die Hardware "gekettet". Die Virtualisierung sprengt diese Kette und macht die VM zu einer portablen Datei. Das Gegenteil ist "Bare Metal".|Ein physischer Server mit 64 Kernen wird durch den Layer in 10 virtuelle Server mit je 6 Kernen aufgeteilt.|Virtual = Scheinbar (aber nutzbar)|Nachbildung von Objekten; Umwandlung physischer in logische Ressourcen.|Die physische Verschmelzung von zwei Festplatten zu einer.|Die reine Emulation alter Spielkonsolen auf dem PC.|Die Erhöhung der Taktfrequenz der CPU durch Software.|Virtualisierung Definition Abstraktion Layer
Bachelor Professional IT|Ziele der Virtualisierung|Welche drei primären betriebswirtschaftlichen und technischen Ziele werden durch den Einsatz von Virtualisierung (laut Definition) verfolgt?|Green IT & Kosten|Effizienz-Dreieck|Die Hauptziele sind:<br>1. <b>Bessere Hardwareauslastung</b> durch Konsolidierung (Vermeidung von Leerlauf).<br>2. <b>Erhöhung der Ausfallsicherheit</b> (schnelles Verschieben von VMs bei Defekten).<br>3. <b>Senkung von Kosten</b> und Stromverbrauch (weniger physische Geräte nötig).|Früher lief ein Server oft bei 5-10% Last ("Idle"). Durch Virtualisierung nähert man sich 70-80%, was den ROI (Return on Invest) massiv verbessert.|Statt 10 Servern mit je 10% Last betreibt man 2 Server mit je 50% Last und spart 8-mal Hardware und Strom.|Konsolidierung = Zusammenfassung|Höhere Auslastung (Konsolidierung), Ausfallsicherheit und Kostensenkung.|Erhöhung der Hardware-Preise, mehr Personalbedarf, langsamere Systeme.|Abschaffung aller physischen Server, Nutzung von reinem WLAN.|Nur die Nutzung für Software-Tests.|Virtualisierung Vorteile Konsolidierung Kosten
Bachelor Professional IT|Infrastruktur-Planung|Sie sollen für eine Bank eine hochperformante Server-Farm planen, auf der 200 virtuelle Server laufen sollen. Welches Produkt/Technologie wählen Sie zwingend aus?|Produktkenntnis|Enterprise-Lösung|Zwingend einen <b>Typ-1 Hypervisor</b> (z. B. VMware ESXi, Microsoft Hyper-V Server, Citrix XenServer).<br>Gründe:<br>- Direkter Hardwarezugriff für maximale I/O-Leistung.<br>- Stabilität (kein Host-OS, das abstürzen oder Updates laden muss).<br>- Zertifizierung für Enterprise-Workloads.|In der Prüfung müssen Sie oft Produkte den Kategorien zuordnen. ESXi ist der Industriestandard für Typ-1. VirtualBox ist ein klassisches Typ-2 Tool für den Desktop.|Keine Bank betreibt ihr Core-Banking auf einem Windows-PC mit VirtualBox.|Typ-1 = Bank, Typ-2 = Bastler|VMware vSphere ESXi oder Microsoft Hyper-V Server (Typ-1).|Oracle VirtualBox (Typ-2).|Parallels Desktop (Typ-2).|VMware Workstation Player (Typ-2).|Szenario Auswahl Hypervisor ESXi Hyper-V
Bachelor Professional IT|Hypervisor-Konzepte|Was ist das entscheidende Merkmal der <b>Paravirtualisierung</b> im Gegensatz zur vollständigen Hardware-Virtualisierung in Bezug auf das Gast-Betriebssystem?|Kooperation statt Emulation|Anpassung nötig|Bei der <b>Paravirtualisierung</b> muss das Gast-Betriebssystem <b>modifiziert</b> (angepasst) werden.<br>- Grund: Das Gast-OS "weiß", dass es virtualisiert ist, und kommuniziert über spezielle Schnittstellen (Hypercalls) direkt mit dem Hypervisor, statt Hardware treiberseitig zu emulieren.<br>- Vorteil: Höhere Performance durch geringeren Overhead.|Im Gegensatz dazu gaukelt die Vollvirtualisierung dem Gast eine komplette Hardware vor (Gast ist unmodifiziert). Moderne CPUs unterstützen dies heute hardwareseitig (VT-x/AMD-V), sodass Paravirtualisierung seltener manuell nötig ist.|Xen nutzte früher Paravirtualisierung für Linux-Gäste, um schneller zu sein als die reine Emulation.|Para = Daneben/Angepasst|Das Gast-Betriebssystem muss modifiziert (angepasst) werden.|Das Gast-System läuft komplett isoliert ohne Wissen über die Virtualisierung.|Das Gast-System muss ein Windows-System sein.|Der Hypervisor wird im Gast-System installiert.|Virtualisierung Paravirtualisierung Hypervisor Gast-OS
Bachelor Professional IT|Betriebssystem-Virtualisierung|Wie erzeugt die <b>Betriebssystem-Virtualisierung</b> (z. B. Solaris Container, FreeBSD Jails) ihre Instanzen und worin liegt der architektonische Unterschied zur Hypervisor-Lösung?|Kernel-Sharing|Container-Prinzip|Bei der <b>OS-Virtualisierung</b> erzeugt der <b>Kernel</b> des Host-Systems mehrere isolierte Umgebungen (User-Spaces).<br>- Unterschied: Alle Instanzen teilen sich den <b>gleichen Kernel</b> (Shared Kernel). Es gibt keinen Hypervisor und keine virtuellen Hardware-Treiber für jede Instanz.<br>- Vorteil: Extrem geringer Ressourcenverbrauch (Overhead).|Dies ist der Vorläufer und das Prinzip von Docker. Während eine VM (Hypervisor) Minuten zum Booten braucht (eigener Kernel startet), startet ein Container (OS-Virt) in Millisekunden (Prozess im laufenden Kernel startet).|FreeBSD Jails oder Docker-Container auf Linux.|OS-Virt = 1 Kernel, viele User|Der Host-Kernel erzeugt isolierte User-Space-Umgebungen (Shared Kernel).|Sie nutzt für jede Instanz einen eigenen Kernel auf eigener virtueller Hardware.|Sie partitioniert die Festplatte physisch in zwei Hälften.|Sie emuliert für jeden Container eine eigene CPU.|Virtualisierung Container OS-Virtualisierung Kernel
Bachelor Professional IT|Server-Virtualisierung Ebenen|Ein Kunde fordert für sein Hochsicherheits-Rechenzentrum eine strikte Trennung der Systeme. Es darf keine gemeinsame Software-Schicht (Hypervisor) geben, aber die Hardware (Baugruppen) soll in einem einzigen Schrank (Rack/Chassis) verbaut sein. Welche Ebene der Abstraktion ist hier gefordert?|Hard-Isolation|Kein Shared Code|<b>Physische Partitionierung</b>.<br>Hierbei werden die zugrunde liegenden <b>realen Baugruppen</b> (CPUs, RAM-Bänke, I/O-Karten) elektrisch/physisch in separate Partitionen getrennt.<br>- Es gibt keinen gemeinsamen Hypervisor, der als Single Point of Failure oder Angriffsfläche dienen könnte.|Dies ist die stärkste Form der Isolation innerhalb eines Systems, oft bei Mainframes (IBM Z) oder großen UNIX-Servern zu finden. Jede Partition hat ihre eigene "echte" Hardware.|LPARs (Logical Partitions) bei IBM Mainframes, die hardwareseitig getrennt sind.|Physisch = Hart getrennt|Physische Partitionierung (Hardware-Trennung).|Hypervisor-basierende Virtualisierung.|Betriebssystem-Virtualisierung (Container).|Virtualisierung im Trägerbetriebssystem.|Virtualisierung Partitionierung Hardware Sicherheit
Bachelor Professional IT|Speicher-Virtualisierung|Was ist das technische Kernziel der <b>Speicher-Virtualisierung</b> und welchen direkten administrativen Vorteil bietet sie laut Definition?|Entkopplung|Logik vs. Physik|<b>Speicher-Virtualisierung</b> ist die Technik zur <b>Abstraktion physischer Speichereigenschaften</b>.<br>- Ziel: Verwaltung von Speicher <b>unabhängig von physischen Grenzen</b> (z. B. Festplattengröße).<br>- Vorteil: Der Nutzer sieht einen virtuellen Pool, was den <b>Auslastungsgrad</b> erhöht und Erweiterungen vereinfacht.|Ohne Virtualisierung ist eine 1TB-Festplatte voll, wenn 1TB Daten drauf sind. Mit Virtualisierung können Sie einem Server 5TB "vorgaukeln" (Thin Provisioning) und physischen Speicher erst nachkaufen, wenn er wirklich gebraucht wird.|Ein Server "sieht" ein 10TB Laufwerk, das physisch aber auf drei verschiedenen Storage-Boxen verteilt liegt.|Virtuell = Schein (aber nutzbar)|Abstraktion physischer Grenzen; höhere Auslastung und einfachere Erweiterung.|Die Komprimierung von Daten, um Festplattenplatz zu sparen.|Die Umwandlung von Arbeitsspeicher (RAM) in Festplattenspeicher.|Die physische Verschmelzung von Kabeln zur Reduzierung von Kabelsalat.|Storage Virtualisierung Definition Pool Management
