Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Netzwerkplanung|Ein Unternehmen plant die Verkabelung eines neuen Bürogebäudes. Welche Medien-Kombination entspricht dem "Best Practice" für <b>Backbone</b> (Etagenverbindung) und <b>Horizontalverkabelung</b> (Anschluss zum PC)?|Strukturierte Verkabelung|Standard-Architektur|Der Standard-Ansatz ist:<br>1. <b>Backbone (Vertikal)</b>: <b>Glasfaser</b>, um hohe Datenmengen zwischen Etagenverteilern verlustfrei zu bündeln.<br>2. <b>Horizontal (Ebene)</b>: <b>Kupfer (Cat6/7)</b>, da es robust, günstig und für Endgeräte (inkl. PoE für Telefone) ideal ist.|Fiber to the Desk (FTTD) ist meist zu teuer und unflexibel. Cat7 bietet im LAN bis zu 10 Gbit/s, was für Arbeitsplätze meist ausreicht. Der Backbone muss jedoch die Summe aller Daten bewältigen (Bottleneck-Gefahr).|Anbindung des Serverraums im EG an den Switch im 3. OG via Glasfaser; PCs im Büro via Patchkabel.|Vertikal = Glas, Horizontal = Kupfer|Backbone mit Glasfaser (LWL), Horizontalverkabelung mit Kupfer (Cat6/7).|Überall Glasfaser (Fiber to the Desk) wegen der Geschwindigkeit.|Überall WLAN, um Kabelkosten komplett zu sparen.|Backbone mit Bluetooth, Endgeräte mit Cat5e.|Strukturierte Verkabelung Backbone Kupfer Glasfaser E01
Bachelor Professional IT|Netzwerktopologien|Was ist das Hauptmerkmal der <b>Stern-Topologie</b> und welches spezifische Risiko (Nachteil) ergibt sich daraus für den Betrieb?|Zentralisierung|Single Point of Failure|In einer <b>Stern-Topologie</b> sind alle Endgeräte an einen <b>zentralen Knoten</b> (meist ein Switch) angeschlossen.<br>- Vorteil: Einfache Erweiterbarkeit und Fehlerlokalisierung (fällt ein Kabel aus, betrifft es nur ein Gerät).<br>- Nachteil: Der zentrale Knoten ist ein <b>Single Point of Failure</b>. Fällt der Switch aus, ist das gesamte Netzwerk segmentübergreifend tot.|In der Praxis wird dieses Risiko durch redundante Switches (Stacking/MLAG) minimiert. Der Stern ist die Basis der strukturierten Verkabelung in Bürogebäuden.|Ein PC im Büro hat ein defektes Kabel; nur dieser PC ist offline. Wäre der zentrale Switch defekt, könnten 48 Mitarbeiter nicht arbeiten.|Stern = Switch in der Mitte|Zentraler Knotenpunkt (Switch); Ausfall des Knotens legt das gesamte Netz lahm.|Alle Geräte sind in Reihe geschaltet; ein Kabelbruch legt alles lahm.|Daten fließen nur in eine Richtung; hohe Latenz bei vielen Teilnehmern.|Jedes Gerät ist mit jedem verbunden; extrem hohe Verkabelungskosten.|Topologie Stern Switch Infrastruktur Redundanz E01
Bachelor Professional IT|Netzwerktopologien|Warum wird eine <b>vollvermaschte Topologie (Mesh)</b> trotz ihrer extremen Ausfallsicherheit in großen LAN-Umgebungen selten als Standard eingesetzt?|Komplexität & Kosten|Wirtschaftlichkeit|In einer <b>vollvermaschten Topologie</b> ist jedes Gerät mit jedem anderen Gerät direkt verbunden.<br>- Vorteil: Höchste Ausfallsicherheit (viele Ersatzwege).<br>- Nachteil: Der <b>Verkabelungsaufwand</b> steigt quadratisch zur Anzahl der Geräte ($n(n-1)/2$). Dies ist für normale Arbeitsplatzrechner unwirtschaftlich.|Vollvermaschung findet man primär in Kern-Netzwerken (Backbones) oder im Internet (Router-Ebene). Im lokalen Bereich nutzt man eher Teilvermaschung (Partial Mesh), um einen Kompromiss aus Kosten und Sicherheit zu finden.|Zwei Rechenzentren sind über drei verschiedene Wege verbunden, damit bei einem Baggerbiss in Leitung A der Betrieb weiterläuft.|Mesh = Maximale Sicherheit, Maximale Kosten|Aufgrund des extrem hohen Verkabelungsaufwands und der Kosten.|Da sie keine Redundanz bietet und bei Fehlern schwer zu warten ist.|Weil sie nur für drahtlose Übertragung (Zigbee) geeignet ist.|Da die Datenübertragung durch die vielen Wege zu langsam wird.|Topologie Mesh Redundanz Backbone Infrastruktur E01
Bachelor Professional IT|Netzwerkdesign|Ein fünfstöckiges Bürogebäude soll vernetzt werden. In jeder Etage gibt es einen Etagenverteiler (Stern), die wiederum alle an einen zentralen Core-Switch im Keller angebunden sind. Welcher Topologie-Typ beschreibt diese Anordnung am besten?|Hierarchie im Design|Strukturierte Verkabelung|Dies ist eine klassische <b>Baum-Topologie</b>.<br>- Sie besteht aus einer Wurzel (Core-Switch) und mehreren Verzweigungen (Etagen-Switches), an denen wiederum die Blätter (Endgeräte) hängen.<br>- Vorteil: Klare Hierarchie, gute Skalierbarkeit und logische Trennung der Abteilungen.|Die Baum-Topologie ist das Standardmodell für größere Unternehmensnetzwerke. Kritisch ist hier die Verbindung zur Wurzel (Uplink). Fällt die Wurzel aus, bricht die Kommunikation zwischen den Zweigen zusammen.|Ein Ausfall des Etagen-Switches im 3. OG trennt nur diese Etage vom Rest des Firmennetzes (Baum-Struktur).|Baum = Stamm (Core) + Äste (Etagen)|Baum-Topologie (Hierarchische Verknüpfung von Sternen).|Ring-Topologie (Daten fließen von Etage zu Etage).|Bus-Topologie (Ein langes Kabel durch das Treppenhaus).|Vollvermaschung (Jeder PC ist mit dem Keller verbunden).|Topologie Baum Infrastruktur Design Planung E01
Bachelor Professional IT|Kommunikationsprotokolle|Was definieren Protokolle im Kern und welches Bundle gilt als "Sprache des Internets"?|Regelwerk der IT|Standard-Suite|Ein Protokoll ist eine Vereinbarung über:<br>1. <b>Syntax</b> (Format/Struktur)<br>2. <b>Semantik</b> (Bedeutung der Steuerinfos)<br>3. <b>Synchronisation</b> (Geschwindigkeit/Reihenfolge).<br>Das Standard-Bundle ist <b>TCP/IP</b>.|Ohne Protokolle würden Systeme unterschiedliche Sprachen sprechen. TCP/IP ist modular aufgebaut und ermöglicht die Kommunikation über heterogene Hardware hinweg. Es ist die Basis für fast alle modernen Dienste wie HTTP, FTP oder SMTP.|Zwei Menschen vereinbaren, dass ein Kopfnicken "Ja" bedeutet (Syntax: Bewegung, Semantik: Zustimmung).|Protokoll = Syntax + Semantik + Sync|Regeln für Syntax, Semantik und Synchronisation; Bundle ist TCP/IP.|Protokolle definieren nur die Hardware; Bundle ist das OSI-Modell.|Sie regeln die Stromspannung; Bundle ist Ethernet/WLAN.|Sie sind nur für die Verschlüsselung da; Bundle ist SSL/TLS.|Protokoll Definition TCP/IP Internet Kommunikation E01
Bachelor Professional IT|Netzwerk-Metriken|Wie unterscheiden sich <b>Bandbreite</b> und <b>Durchsatz</b> in der Netzwerktheorie?|Theorie vs. Praxis|Leistungsfähigkeit|Die Unterscheidung ist fundamental für das Monitoring:<br>- <b>Bandbreite</b>: Das theoretisch übertragbare Datenvolumen (z.B. 1 Gbit/s Leitung).<br>- <b>Durchsatz</b>: Die tatsächlich gemessene Datenrate (Transfergröße / Zeit), die nach Abzug von Overhead und Störungen übrig bleibt.|In der Praxis ist der Durchsatz immer geringer als die Bandbreite. Gründe sind Protokoll-Overhead (Header), Kollisionen, Latenzen oder Überlastung der Gegenstelle.|Ein Rohr kann 100 Liter/Min leiten (Bandbreite), aber durch Kalkablagerungen fließen nur 80 Liter/Min (Durchsatz).|Bandbreite = Soll, Durchsatz = Ist|Bandbreite = theoretisches Maximum; Durchsatz = tatsächlich erreichte Rate.|Bandbreite ist die Geschwindigkeit, Durchsatz ist die Entfernung.|Bandbreite misst die Zeit, Durchsatz misst die Paketgröße.|Es gibt keinen Unterschied, beide Begriffe sind synonym.|Bandbreite Durchsatz Performance Monitoring E01
Bachelor Professional IT|Performance-Analyse|Ein Admin stellt fest, dass die <b>RTT (Round-Trip-Time)</b> zu einem Server massiv angestiegen ist, während die Bandbreite stabil bleibt. Welche Auswirkung hat dies auf eine Echtzeit-Anwendung (z. B. VoIP oder Gaming)?|Zeitverzögerung|Verständigungsprobleme|Eine hohe <b>RTT</b> bedeutet eine hohe <b>Latenz</b>.<br>- RTT ist die Zeit für den Weg zum Ziel und die Rückantwort.<br>- Folge: Auch bei "breiter" Leitung hinkt das Signal hinterher (Lag). Echtzeit-Dienste leiden unter Aussetzern.|Latenz ist oft kritischer als Bandbreite. Bei VoIP führen RTTs über 150ms zu spürbaren Verzögerungen im Gespräch. Ursachen können überlastete Router oder zu viele Hops im Netzwerk sein.|Telefonat via Satellit: Man hört die eigene Stimme verzögert zurück (hohe RTT), obwohl die Sprachqualität (Bandbreite) gut ist.|RTT = Hin + Zurück Zeit|Hohe Zeitverzögerung (Lag) und instabile Kommunikation.|Keine, solange die Bandbreite hoch genug ist.|Die Daten werden automatisch komprimiert.|Die Download-Größe der Dateien nimmt zu.|Latenz RTT Performance Troubleshooting E01
Bachelor Professional IT|ISO/OSI-Modell (Layer 1-3)|Welche Aufgaben erfüllen die Schichten 1, 2 und 3 und welche Hardware-Komponenten sind ihnen jeweils zugeordnet?|Hardware-Zuordnung|Physical to Network|Die unteren drei Schichten bilden die Basis:<br>1. <b>Layer 1 (Physical)</b>: Übertragung von Bits (Kabel, Stecker, <b>Hub</b>).<br>2. <b>Layer 2 (Data Link)</b>: Adressierung via MAC-Adresse und Fehlererkennung (<b>Switch</b>, Bridge).<br>3. <b>Layer 3 (Network)</b>: Routing und logische Adressierung via <b>IP</b> (<b>Router</b>).|Wichtig für Troubleshooting: Wenn der Ping (L3) fehlschlägt, prüft man erst das Kabel (L1) und dann die MAC-Tabelle (L2). Schicht 1-3 sind "netzwerkorientiert".|Ein PC kann keine Verbindung aufbauen, weil der Switch (L2) die MAC-Adresse nicht lernt oder das Kabel (L1) defekt ist.|1-Bit, 2-MAC, 3-IP|L1: Physisch (Kabel/Hub), L2: Sicherung (Switch/MAC), L3: Vermittlung (Router/IP).|L1: IP (Router), L2: MAC (Switch), L3: Bits (Hub).|L1: Bits (Router), L2: IP (Switch), L3: Fehler (Kabel).|L1: Software, L2: Hardware, L3: User.|OSI Schicht 1-3 Hardware Switch Router IP E01
Bachelor Professional IT|ISO/OSI-Modell (Layer 4-7)|Welche Schicht ist für die <b>Verschlüsselung</b> (z.B. TLS) zuständig und welche Schicht dient als direkte Schnittstelle für den <b>Benutzer</b> (z.B. HTTP)?|Software-Schnittstellen|Presentation & Application|Die oberen Schichten sind "anwendungsorientiert":<br>- <b>Schicht 6 (Presentation)</b>: Zuständig für Datenformate, Kompression und <b>Verschlüsselung (SSL/TLS)</b>.<br>- <b>Schicht 7 (Application)</b>: Bietet die <b>Schnittstelle für Anwendungen</b> (HTTP für Browser, SMTP für Mail).|Schicht 4 (Transport mit TCP/UDP) sorgt für die Logistik, aber erst Schicht 6 entscheidet, ob die Daten als JPEG oder verschlüsselter Text ankommen. Schicht 7 ist *nicht* das Programm selbst, sondern das Protokoll, das es nutzt.|Ein Webbrowser nutzt das HTTP-Protokoll (L7), um Daten zu laden, die via HTTPS (L6) verschlüsselt wurden.|6-Format/Safe, 7-App/User|L6 (Presentation) verschlüsselt, L7 (Application) ist für den User.|L4 (Transport) verschlüsselt, L5 (Session) ist für den User.|L7 (Application) verschlüsselt, L4 (Transport) ist für den User.|L3 (Network) verschlüsselt, L7 (Application) ist für den User.|OSI Schicht 4-7 Verschlüsselung HTTP TLS E01
Bachelor Professional IT|IT-Management Troubleshooting|Ein User meldet: "Mein Outlook kann keine E-Mails senden." Der Admin prüft die Verbindung und stellt fest, dass das Netzwerkkabel steckt (L1 ok) und ein Ping auf den Mailserver erfolgreich ist (L3 ok). Auf welcher OSI-Ebene sollte er als Nächstes suchen?|Systematische Fehlersuche|Bottom-Up Methode|Wenn L1 bis L3 funktionieren, liegt das Problem <b>"höher im Stack"</b>.<br>- <b>Schicht 4 (Transport)</b>: Ist der Port (z.B. 587 für SMTP) offen? (TCP-Handshake).<br>- <b>Schicht 7 (Application)</b>: Sind die Kontodaten in Outlook korrekt?<br>Der Fehler ist softwareseitig oder protokollspezifisch.|Dies ist das "Divide and Conquer"-Prinzip. Da der Ping (L3/ICMP) geht, ist die gesamte physische und routingtechnische Infrastruktur intakt. Der Fokus wandert nun zur Port-Kommunikation und Anwendung.|Ping geht (L3 ok), aber Website lädt nicht -> Mögliches Problem mit dem Zertifikat (L6) oder dem Port 443 (L4).|L3 ok? Dann hoch zu 4!|Schicht 4 oder höher (z.B. Ports/TCP oder App-Konfiguration).|Wieder bei Schicht 1 (Hardware tauschen).|Bei Schicht 2 (Switch-Port prüfen).|Außerhalb des Modells (Stromversorgung).|OSI Troubleshooting Fehleranalyse Schichtmodell E01
Bachelor Professional IT|Netzwerkmodelle (TCP/IP vs. OSI)|Welche Schichten des 7-stufigen OSI-Modells werden im TCP/IP-Modell in der einzigen <b>Anwendungsschicht</b> zusammengefasst?|Konsolidierung|Obere Schichten|Das TCP/IP-Modell fasst die drei obersten OSI-Schichten (<b>Sitzung, Darstellung, Anwendung</b>) zu einer einzigen <b>Anwendungsschicht (Application Layer)</b> zusammen.<br>- Grund: In der Praxis regelt die Anwendung selbst (z. B. der Browser) die Sitzung und Datenkonvertierung.|Für Entwickler ist diese Trennung im Code oft nicht sichtbar; ein HTTP-Prozess kümmert sich sowohl um die Daten (App), die Verschlüsselung (Darstellung) als auch um den Dialog (Sitzung). Daher ist das 4-Schichten-Modell praxisnäher.|Ein Webbrowser (TCP/IP App-Layer) übernimmt sowohl das HTML-Rendering (OSI 7) als auch die TLS-Verschlüsselung (OSI 6).|TCP/IP oben = 3-in-1 (OSI 5,6,7)|Schicht 5 (Sitzung), 6 (Darstellung) und 7 (Anwendung).|Schicht 1 und 2.|Schicht 3 und 4.|Nur Schicht 7.|TCP/IP OSI Mapping Schichtenmodell Vergleich E01 
Bachelor Professional IT|TCP/IP Transportschicht|Welche zwei primären Protokolle der TCP/IP-Transportschicht unterscheiden sich durch ihre Art der Verbindung (verbindungsorientiert vs. verbindungslos)?|Zuverlässigkeit vs. Speed|Logistik-Ebene|Die Transportschicht nutzt zwei Hauptprotokolle:<br>1. <b>TCP (Transmission Control Protocol)</b>: Bietet Fehlerkorrektur, Reihenfolgegarantie und ist <b>verbindungsorientiert</b> (Handshake).<br>2. <b>UDP (User Datagram Protocol)</b>: Schnell, schlank, aber <b>verbindungslos</b> (keine Empfangsbestätigung).|TCP ist wie ein Einschreiben (Sicherheit), UDP wie eine Postkarte (Schnelligkeit). In der Prüfung wichtig: TCP für Datenintegrität (Web, Mail), UDP für Echtzeit (Streaming, VoIP, Gaming).|Download einer Datei nutzt TCP (Vollständigkeit wichtig); ein Videoanruf nutzt UDP (Tempo wichtiger als einzelne verlorene Pixel).|TCP = Sicher, UDP = Schnell|TCP (verbindungsorientiert) und UDP (verbindungslos).|IP und ICMP.|HTTP und FTP.|Ethernet und WLAN.|TCP UDP Transportschicht Protokolle E01
Bachelor Professional IT|TCP/IP Internet-Schicht|Ein Paket soll den optimalen Weg durch verschiedene Teilnetze zum Zielrechner finden. Welches Protokoll ist hierfür zuständig und auf welcher TCP/IP-Schicht operiert es?|Adressierung & Routing|Vermittlungsebene|Das <b>Internet Protocol (IP)</b> auf der <b>Internet-Schicht</b> (entspricht OSI 3).<br>- Aufgabe: Adressierung der Pakete und <b>Routing</b> durch das Netzwerk (Hop-to-Hop).|Die Internet-Schicht ist das Herzstück des Modells. Sie abstrahiert von der physikalischen Verbindung (Link-Schicht) und liefert Pakete "Best-Effort" an die Ziel-IP aus.|Ein Router analysiert den IP-Header eines Pakets auf der Internet-Schicht, um zu entscheiden, über welche Schnittstelle das Paket weitergeleitet wird.|IP = Internet-Schicht = Navi|IP (Internet Protocol) auf der Internet-Schicht.|TCP auf der Transportschicht.|Ethernet auf der Link-Schicht.|HTTP auf der Anwendungsschicht.|IP Internet Schicht Routing Protokoll E01
Bachelor Professional IT|Netzwerksicherheit (DMZ)|Was ist der primäre Zweck einer <b>Demilitarisierten Zone (DMZ)</b> und wie schützt sie das interne Netzwerk bei einem Angriff auf einen Webserver?|Zonentrennung|Isolierung exponierter Dienste|Die <b>DMZ</b> ist ein isoliertes Netzsegment zwischen Internet und LAN.<br>- Zweck: Bereitstellung öffentlich erreichbarer Dienste (z. B. Webserver).<br>- Schutzwirkung: Ein Angreifer, der den Server in der DMZ kompromittiert, befindet sich in einem <b>isolierten Bereich</b> und hat keinen direkten Zugriff auf das interne LAN (getrennt durch eine weitere Firewall-Instanz).|In der Praxis wird oft ein "Zweistufiges Firewall-Konzept" genutzt. Die äußere Firewall lässt nur HTTP/HTTPS zur DMZ zu. Die innere Firewall blockt alles von der DMZ ins LAN, was nicht explizit für die Datenbank-Kommunikation nötig ist.|Ein Webserver steht in der DMZ. Wird er gehackt, verhindert die innere Firewall, dass der Hacker auf das interne Active Directory zugreifen kann.|DMZ = Pufferzone zwischen Internet und Intranet|Isolation exponierter Dienste; Durchbruch führt nicht direkt ins interne Netz.|Sie verschlüsselt den gesamten Datenverkehr zum Webserver.|Sie ersetzt die Firewall durch einen Proxy-Server.|Sie dient als Backup-Speicher für das interne LAN.|Sicherheit DMZ Firewall Netzwerk Architektur E01
Bachelor Professional IT|Virtual Private Network (VPN)|Welche VPN-Typen werden für die <b>Vernetzung zweier Standorte</b> (Site-to-Site) und für die <b>Anbindung von Homeoffice-Mitarbeitern</b> (End-to-Site) verwendet?|Vernetzungsszenarien|Gateway vs. Client|Man unterscheidet nach dem Endpunkt des Tunnels:<br>1. <b>Site-to-Site (LAN-to-LAN)</b>: Zwei VPN-Gateways (Router/Firewalls) verbinden ganze Netzwerke dauerhaft.<br>2. <b>End-to-Site (Remote Access)</b>: Ein mobiler Client wählt sich temporär in ein Firmen-Gateway ein.<br>3. <b>End-to-End</b>: Direkter Tunnel zwischen zwei Hosts (z. B. Admin-PC zu Server).|VPNs nutzen Verschlüsselung (IPsec oder SSL/TLS), um einen sicheren Tunnel über das öffentliche Internet zu legen. Wichtig für die IHK: Die Integrität und Vertraulichkeit der Daten ist dabei oberstes Ziel.|Zweigstelle Berlin ist via Router permanent mit Zentrale München verbunden (Site-to-Site). Außendienst nutzt VPN-Client am Laptop (End-to-Site).|Site-to-Site = Büro zu Büro, End-to-Site = User zu Büro|Site-to-Site für Standorte; End-to-Site (Remote Access) für Mitarbeiter.|Site-to-Site für Mitarbeiter, End-to-End für Standorte.|Beide nutzen immer eine End-to-End Verbindung.|VPN ist nur für die End-to-End Kommunikation zwischen PCs gedacht.|VPN Site-to-Site End-to-Site Homeoffice Infrastruktur E01
Bachelor Professional IT|IT-Sicherheitsziele|Ein Administrator implementiert eine digitale Signatur für alle VPN-Verbindungen. Welches Sicherheitsziel steht hier im Vordergrund, wenn sichergestellt werden soll, dass die Daten <b>während der Übertragung nicht verändert</b> wurden?|CIA-Schutzziele|Unveränderlichkeit|Das primäre Ziel ist die <b>Integrität</b>.<br>- Integrität garantiert, dass Daten korrekt und vollständig sind.<br>- Ergänzend wird oft die <b>Authentizität</b> geprüft (ist der Absender echt?).<br>Die Verschlüsselung selbst dient der <b>Vertraulichkeit</b>.|In der Prüfung wird oft gefragt, welches Ziel durch eine bestimmte Maßnahme erreicht wird. Signatur = Integrität/Authentizität. AES-Verschlüsselung = Vertraulichkeit. Cluster/Redundanz = Verfügbarkeit.|Ein Hacker fängt ein Datenpaket ab und ändert den Betrag einer Überweisung. Eine Prüfung der Integrität (Hash-Wert/Signatur) würde diesen Betrug aufdecken.|Integrität = Inhalt intakt|Integrität (Sicherstellung der Unverrehrtheit).|Vertraulichkeit (Verschlüsselung gegen Mitlesen).|Verfügbarkeit (Schutz gegen Systemausfall).|Skalierbarkeit (Erweiterbarkeit des Netzwerks).|IT-Sicherheit Integrität Schutzziele CIA VPN E01
